VideoName,E_Y,h,L_Y,L_U,E_U,L_V,E_V,targetBitrate,timeLimitEnc,timeLimitDec,resolution,qp
564,9.841666667,2.716925397,85.45833333,129.8291667,130.7,8.975,10.87916667,145,9999.0,9999.0,1080,50
570,37.70416667,16.43610167,89.3875,123.9208333,129.1166667,6.158333333,5.6,145,9999.0,9999.0,540,46
572,6.091666667,4.326605701,132.6166667,137.975,93.15416667,10.85,12.93333333,145,9999.0,9999.0,1080,50
573,16.1375,18.13355693,73.3,129.05,128.7208333,11.89583333,8.8125,145,9999.0,9999.0,360,45
576,4.170833333,5.558732538,95.49583333,129.7291667,126.4333333,5.566666667,6.116666667,145,9999.0,9999.0,360,39
580,17.05833333,7.609036067,108.1625,138.3041667,124.1666667,6.458333333,13.5375,145,9999.0,9999.0,540,44
581,23.3375,46.17306318,100.45,123.65,128.9958333,4.908333333,4.283333333,145,9999.0,9999.0,360,42
586,9.929166667,2.718563887,126.6625,127.2416667,131.8291667,5.366666667,8.608333333,145,9999.0,9999.0,1080,50
591,15.55833333,13.0210335,61.56666667,126.3791667,130.6083333,6.7375,8.175,145,9999.0,9999.0,540,47
596,21.02083333,47.16025623,107.8125,120.7791667,129.0375,11.86666667,8.020833333,145,9999.0,9999.0,360,44
598,3.554166667,0.998279021,50.5625,126.0,133.5291667,2.0,9.020833333,145,9999.0,9999.0,720,45
600,15.28333333,6.2875009,120.3208333,137.7541667,115.2208333,4.366666667,5.004166667,145,9999.0,9999.0,540,44
610,37.74166667,23.22771644,101.3791667,128.8833333,127.9375,10.35416667,9.275,145,9999.0,9999.0,540,48
619,14.6,12.703862,114.2916667,134.8041667,115.85,4.854166667,9.220833333,145,9999.0,9999.0,540,46
627,20.73333333,19.79022021,72.15,129.6333333,130.65,6.541666667,11.2,145,9999.0,9999.0,360,44
630,48.57916667,11.23715035,87.425,128.3208333,130.0833333,25.49166667,15.9,145,9999.0,9999.0,540,46
631,53.7625,11.49870628,82.56666667,121.875,128.8375,19.03333333,14.89583333,145,9999.0,9999.0,360,41
631,53.7625,11.49870628,82.56666667,121.875,128.8375,19.03333333,14.89583333,600,9999.0,9999.0,1080,44
633,22.7875,4.81772141,126.4125,126.7083333,127.775,2.6375,1.941666667,145,9999.0,9999.0,540,44
643,35.325,22.48315234,106.2458333,125.1875,128.425,6.091666667,6.904166667,145,9999.0,9999.0,540,47
645,33.92916667,12.67163552,93.39583333,127.2541667,126.5583333,6.641666667,13.67916667,145,9999.0,9999.0,540,45
650,38.19166667,43.30613138,85.77083333,124.6958333,126.4958333,8.633333333,5.529166667,145,9999.0,9999.0,540,44
651,29.72083333,39.07564801,75.59166667,121.9875,133.875,14.58333333,8.641666667,145,9999.0,9999.0,360,45
658,25.54166667,0.633363929,66.6125,128.0,127.0,0.258333333,0.916666667,145,9999.0,9999.0,360,38
658,25.54166667,0.633363929,66.6125,128.0,127.0,0.258333333,0.916666667,300,9999.0,9999.0,720,40
660,15.15833333,1.152378029,60.25,125.3541667,127.3625,8.429166667,4.2875,145,9999.0,9999.0,360,39
664,19.81666667,10.48444984,116.8708333,125.9791667,125.8375,5.270833333,5.566666667,145,9999.0,9999.0,360,42
665,27.475,25.39258912,89.88333333,122.8375,130.35,8.920833333,7.725,145,9999.0,9999.0,540,48
670,16.22916667,19.0247095,73.975,122.8916667,128.9458333,8.404166667,9.941666667,145,9999.0,9999.0,540,49
671,18.95833333,5.149804351,79.22916667,121.4916667,137.6583333,7.833333333,12.45416667,145,9999.0,9999.0,540,47
673,17.675,9.799316318,108.25,137.0083333,124.6666667,6.5375,13.675,145,9999.0,9999.0,540,44
675,27.10833333,1.774450046,55.15,125.975,128.0625,19.05416667,20.82083333,145,9999.0,9999.0,720,50
678,8.791666667,1.849357598,75.375,120.2541667,124.2333333,7.195833333,5.283333333,145,9999.0,9999.0,540,40
679,23.51666667,21.19786068,106.5708333,113.9458333,97.29583333,12.69166667,13.35833333,145,9999.0,9999.0,540,47
681,15.42083333,15.10080421,82.14166667,127.4375,125.9541667,5.6125,9.145833333,145,9999.0,9999.0,360,42
684,10.0375,4.779212301,54.50416667,126.7083333,127.9833333,8.604166667,5.579166667,145,9999.0,9999.0,540,44
697,32.67083333,45.13622538,74.525,121.9666667,133.5875,15.20833333,9.295833333,145,9999.0,9999.0,720,50
698,25.7875,7.486207155,104.4916667,127.5333333,125.9,3.920833333,4.254166667,145,9999.0,9999.0,540,43
699,21.58333333,25.80801948,103.4083333,130.7458333,128.1833333,7.058333333,13.7375,145,9999.0,9999.0,360,44
700,21.04166667,14.95710331,65.75416667,126.0,129.1875,6.4375,26.3625,145,9999.0,9999.0,360,42
703,3.858333333,3.996566736,51.72916667,130.9,126.6208333,6.4375,5.075,145,9999.0,9999.0,360,39
708,17.3875,3.226393264,81.12083333,125.5416667,140.2916667,3.9375,11.88333333,145,9999.0,9999.0,540,47
710,24.59166667,34.62167463,96.27083333,126.2958333,128.6791667,11.11666667,8.620833333,145,9999.0,9999.0,360,44
715,21.41666667,7.433323343,95.40833333,106.5416667,139.85,14.75,15.82083333,145,9999.0,9999.0,360,42
722,20.62916667,1.322449155,56.7125,125.2583333,128.9291667,4.666666667,5.766666667,145,9999.0,9999.0,360,40
722,20.62916667,1.322449155,56.7125,125.2583333,128.9291667,4.666666667,5.766666667,300,9999.0,9999.0,540,40
729,18.05833333,21.30907063,119.1375,133.3916667,119.7583333,4.175,3.604166667,145,9999.0,9999.0,540,45
744,39.97916667,1.367930895,55.6,126.0,129.0,17.85,18.84583333,145,9999.0,9999.0,540,48
749,15.76666667,25.39947331,76.375,123.4625,128.0833333,4.804166667,1.541666667,145,9999.0,9999.0,540,47
